Date,Open,High,Low,Close
2015-10-31,195.23,203.68,190.89,195.607
2015-11-30,194.1,198.32,182,182.54
2015-12-31,183.189,184.804,170.056,176.271
2016-01-31,176.144,176.144,154.846,166.753
2016-02-29,164.281,166.456,154.891,163.216
2016-03-31,164.414,178.68,162.134,170.521
2016-04-30,169.164,185.241,164.712,184.611
2016-05-31,184.371,187.684,176.857,186.153
2016-06-30,185.328,195.878,184.319,192.574
2016-07-31,192.741,194.342,177.989,181.014
2016-08-31,180.197,189.522,176.67,180.207
2016-09-30,180.419,187.303,178.008,186.316
2016-10-31,186.38,191.351,184.835,186.276
2016-11-30,187.38,190.001,178.94,189.312
2016-12-31,190.439,194.909,189.432,192.512
2017-01-31,193.521,196.364,189.935,192.035
2017-02-28,192.837,194.771,189.176,190.621
2017-03-31,191.072,191.389,181.553,185.883
2017-04-30,186.3,188.511,179.722,181.725
2017-05-31,181.959,186.345,176.68,179.772
2017-06-30,179.642,180.1,166.482,174.776
2017-07-31,175.005,182.694,171.433,182.642
2017-08-31,182.227,182.547,174.679,180.857
2017-09-30,180.627,184.94,179.608,183.088
2017-10-31,181.275,187.799,180.309,187.558
2017-11-30,188.842,192.993,187.42,189.171
2017-12-31,190.123,194.046,182.984,193.865
2018-01-31,194.248,201.189,192.462,197.376
2018-02-28,197.442,198.739,187.354,193.949
2018-03-31,192.97,197.921,192.19,195.364
2018-04-30,196.364,203.917,190.421,201.982
2018-05-31,201.074,206.948,200.311,202.841
2018-06-30,202.703,202.899,192.515,200.385
2018-07-31,199.589,199.739,189.968,194.53
2018-08-31,193.019,195.284,186.736,192.955
2018-09-30,193.229,195.883,189.04,195.159
2018-10-31,195.229,201.721,190.921,190.966
2018-11-30,190.814,193.66,178.789,181.738
2018-12-31,184.141,185.696,168.209,169.802
2019-01-31,169.443,182.251,168.265,179.639
2019-02-28,179.652,184.657,176.31,182.746
2019-03-31,183.016,185.882,178.701,183.751
2019-04-30,184.631,189.682,183.657,184.25
2019-05-31,184.061,184.114,175.321,175.363
2019-06-30,175.809,183.262,172.018,181.038
2019-07-31,182.89,184.775,176.694,178.526
2019-08-31,177.466,177.499,167.379,170.356
2019-09-30,169.131,183.328,167.793,173.94
2019-10-31,174.459,179.041,171.391,176.893
2019-11-30,176.893,182.438,176.536,176.655
2019-12-31,177.992,187.79,176.86,185.787
2020-01-31,186.073,187.867,169.884,170.306
2020-02-29,170.158,176.064,157.895,159.446
2020-03-31,160.7662,166.793,119.789,121.7868
2020-04-30,120.7812,133.4509,101.4824,117.1958
2020-05-31,116.2155,132.4889,116.1546,132.2442
2020-06-30,131.8644,140.0481,130.2504,137.9715
2020-07-31,138.9588,144.4363,137.5998,143.6936
2020-08-31,143.8691,154.6519,143.7568,153.2139
2020-09-30,153.2139,154.4959,144.5932,148.5066
2020-10-31,147.7729,152.7307,142.5949,144.7289
2020-11-30,143.1601,161.2818,143.1545,160.0558
2020-12-31,160.3229,167.827,157.8913,167.7969
2021-01-31,169.2097,176.8468,166.6879,174.2021
2021-02-28,174.2021,196.154,174.2021,190.4336
2021-03-31,190.4336,194.5865,183.2797,184.9619
2021-04-30,184.9619,202.4094,183.1749,199.7578
2021-05-31,199.7578,209.5177,199.7578,205.6988
2021-06-30,205.6988,214.0796,203.5503,213.3853
2021-07-31,213.3853,221.2489,204.9356,218.0778
