Data,inflacao,cambio,juros
2016,"0,45","3,21","15,66"
2016,"0,23","3,26","14,16"
2016,"0,19","3,19","13,35"
2016,"0,26","3,34","13,22"
2016,"0,19","3,35","14,30"
2017,"0,31","3,20","13,89"
2017,"0,54","3,10","10,95"
2017,"0,15","3,13","13,35"
2017,"0,21","3,14","9,90"
2017,"0,24","3,21","11,75"
2017,"0,16","3,29","10,16"
2017,"-0,18","3,21","10,03"
2017,"0,35","3,15","10,03"
2017,"0,11","3,13","7,96"
2017,"0,34","3,19","7,96"
2017,"0,32","3,26","7,06"
2017,"0,35","3,29","6,68"
2018,"0,39","3,21","7,19"
2018,"0,38","3,24","5,79"
2018,"0,1","3,28","6,55"
2018,"0,21","3,41","6,42"
2018,"0,14","3,64","6,42"
2018,"1,11","3,77","6,42"
2018,"0,64","3,83","6,68"
2018,"0,13","3,93","7,06"
2018,"0,09","4,12","5,79"
2018,"0,58","3,76","6,68"
2018,"0,19","3,79","6,04"
2018,"-0,16","3,88","6,04"
2019,"0,3","3,74","6,68"
2019,"0,34","3,72","6,04"
2019,"0,54","3,85","5,79"
2019,"0,72","3,90","6,42"
2019,"0,35","4,00","6,68"
2019,"0,06","3,86","5,79"
2019,"0,09","3,78","7,06"
2019,"0,08","4,02","6,17"
2019,"0,09","4,12","5,66"
2019,"0,09","4,09","5,91"
2019,"0,14","4,15","4,66"
2019,"1,05","4,11","4,53"
2020,"0,71","4,15","4,66"
2020,"0,22","4,34","3,54"
2020,"0,02","4,88","4,16"
2020,"-0,01","5,32","3,41"
2020,"-0,59","5,64","2,92"
2020,"0,02","5,20","2,55"
2020,"0,3","5,28","2,30"
2020,"0,23","5,46","1,94"
2020,"0,45","5,40","1,94"
2020,"0,94","5,63","1,94"
2020,"0,81","5,42","1,81"
2020,"1,06","5,14","1,94"
2021,"0,78","5,36","1,81"
2021,"0,48","5,42","1,57"
2021,"0,93","5,65","2,43"
2021,"0,6","5,56","2,55"
2021,"0,44","5,29","3,29"
2021,"0,83","5,03","3,78"
2021,"0,72","5,16","4,41"
